"date_of_birth","given_name","family_name","phone_number","sex","external_id"
"1948-04-19","Verna","Jennings","(555) 555-5555","F","1c86e172bde9d42ebe57cfc2e3a0d405"
"1944-08-14","Jane","Bridges","(555) 555-5555","F","41635ebd2eca3600532b5b8b4c864067"
"1951-01-28","Amy","Filbert","(555) 555-5555","F","db9041ab250ab12e9c3fb98ea6b62149"
"1974-03-14","Coretta","Smith","(555) 555-5555","F","bbb447f2fe4ec0dfcc369ed7b7564234"
"1948-05-27","Richard","Brown","(555) 555-5555","M","9d5e618cb21140d0877baf2faaba29bc"
"1980-02-01","Duke","Bradford","(555) 555-5555","M","21d65902a4551faaf04882ceb1c21d65"
"1950-03-22","Miguel","Alvarez","(555) 555-5555","M","66f5164a6fd78cb962ce1b67813b81d5"
"1948-04-19","Lucas","Wong","(555) 555-5555","M","bf8b0467b778a07e4b540f239eed1dad"
"1944-08-14","Robert","Wu","(555) 555-5555","M","995937dd02cb6d255e190e43dde68039"
"1951-01-28","Lisa","Ellis","(555) 555-5555","F","6048c7c29f35dc5c68798b5b44fccc66"
"1974-03-14","Maureen","Sanders","(555) 555-5555","F","e2af6ee110adbe0ef5d9f3a50f4243bd"
"1948-05-27","Mika","Nichols","(555) 555-5555","M","86a2b495fb5ddfd210458d7b8aa79c6d"
"1980-02-01","Minerva","Ewing","(555) 555-5555","M","7d170b89c088bd09a3e7c892bceac66a"
"1950-03-22","Patricia","Ender","(555) 555-5555","F","e1a20f205af5a4bb3a777e777b8aeb37"
"1948-04-19","Alexander","Pentall","(555) 555-5555","M","02a8c484e329e3c4c365ca4f12aab4a4"
"1989-10-24","Carlos","Hansen","(555) 555-5555","M","697f7408923ebbdaa3f22ea9981bd147"
"1976-09-13","Corey","Fowler","(555) 555-5555","M","de78d0851bee42c151fbb140635da65a"
"1950-06-12","Dallas","Reyes","(555) 555-5555","M","7fa5a80a69f93d56fdbabaf9ec029a47"
"1983-02-04","Theodore","Gray","(555) 555-5555","M","1e1b7747ef4990f4cd0296e71fa6200d"
"1989-10-24","Rodolfo","Waters","(555) 555-5555","M","10e27b3bdc6b6221963db859f44e6f57"
"1989-10-24","Manuel","Rice","(555) 555-5555","M","a457510ac534c99a339f44e73f114fc2"
"1976-09-13","Benjamin","Jones","(555) 555-5555","M","a52a9a88b1469152fd8569f666902d33"
"1944-04-30","Erica","Ackerman","(555) 555-5555","F","9df9c507d67f8fd1441478e834005988"
"1951-01-28","Abel","Steele","(123) 555-5555","M","fc904f5b733fc1601311196b5e39162b"
"1974-03-14","Hugo","Harrington","(456) 555-5555","M","ad693ea7e18fe5d574743a2d96f11997"
"1948-05-27","Craig","Ruiz","(555) 123-5555","M","473a27f19e550667fb08e8f084d5e348"
"1980-02-01","Santos","Henarejos","(555) 456-5555","M","4ffe669080d3227405729a1c3f27411e"
"1950-03-22","Diane","Tucker","(555) 555-7890","F","702b827b203d290253ad59aaacd8ba25"
"1956-09-02","Lynne","Farmer","(555) 555-1234","F","07e2c64930dfe9e938b5dd9aae8f231a"
"1956-09-02","Guadalupe","Perry","(555) 555-5678","F","7d46c71e96baab11e008f5fad21075d2"
"1950-03-22","Shari","Shelton","(987) 555-5555","F","e65688ac35c3b483c28936814afab28d"
"1948-04-19","Jasmine","Buchannan","(654) 555-5555","F","09843a44e7023f885dbdb05ac204ebdc"
"1944-08-14","Guillermo","West","(321) 555-5555","M","afc8d7e4e0cd27cd6b42f2af3be4983c"
